Regno,Name,Course
101,Geeta Rao,B.Sc Chemistry
102,Lakshmi Iyer,B.Tech CSE
103,Mohan Tiwari,BBA
104,Anjali Mehta,B.Tech Mechanical
105,Karan Pillai,B.Sc Physics
106,Nisha Nair,B.Tech ECE
107,Kavya Yadav,B.Sc Mathematics
108,Lakshmi Joshi,B.Tech ECE
109,Sonia Sharma,B.Sc Mathematics
110,Aditya Nair,B.Sc Chemistry
111,Sonia Mehta,B.Tech ECE
112,Maran Yadav,B.Com
113,Lakshmi Kumar,MCA
114,Riya Mehta,B.Sc Physics
115,Deepak Rao,MBA
116,Ganesh Mishra,MCA
117,Vikram Mishra,MBA
118,Rohan Mehta,B.Sc Mathematics
119,Geeta Yadav,B.Tech CSE
120,Kavya Mehta,MCA
